Vendor Name, Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
EDF ENERGY,142488,EDF ENERGY,00005014830,59,380.13,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,60,890.43,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,61,"1,096.34",ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,62,370.91,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,63,474.07,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,64,586.35,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,65,481.19,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,66,507.67,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,67,568.58,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,68,427.65,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,69,546.18,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,70,663.49,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,71,311.19,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,72,518.79,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,73,688.80,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,74,987.81,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,75,408.62,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,76,516.75,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,77,22.74,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,78,26.20,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,79,551.57,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,80,725.53,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,81,402.29,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,82,70.78,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,83,62.71,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,84,534.84,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,85,637.01,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,86,735.75,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,87,259.31,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,88,311.28,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,89,585.08,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,90,240.98,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,91,175.71,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,92,321.77,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,93,430.75,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,94,374.79,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,95,337.19,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,96,"1,243.44",ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,97,"1,132.59",ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,98,663.51,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,99,493.70,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,100,630.41,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,101,442.52,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,102,516.50,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,103,"1,280.05",ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,104,519.02,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,105,480.76,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,106,505.67,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,107,536.56,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,108,690.97,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,109,978.91,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,110,22.99,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,111,29.86,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,112,39.71,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,113,29.44,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,114,15.17,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,115,29.24,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,116,17.66,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,117,28.48,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,118,585.52,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,119,761.52,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,120,196.49,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
