Invoice Number, Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,43,53.73,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,44,35.82,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,45,17.91,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,46,35.82,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,47,8.95,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,48,26.87,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,49,8.95,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,50,71.64,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,51,322.29,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,52,44.78,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,53,110.95,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,54,17.91,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,55,186.24,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,56,35.82,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,57,75.19,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,58,98.50,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,59,314.27,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,60,62.68,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,61,209.52,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,62,26.87,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,63,44.78,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,64,89.55,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,65,17.91,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,66,35.82,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,67,232.83,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,68,239.86,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,69,80.60,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,70,31.63,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,71,61.65,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
