 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Title
300315H,*SPRUE SAFETY PRODUCTS LTD====,1072698,1,865.2,FIRE DETECTORS,02/04/2015,865.2,Operations Non Fire Stations,Health & Safety
300315H,*SPRUE SAFETY PRODUCTS LTD====,1072707,1,865.2,FIRE DETECTORS,02/04/2015,865.2,Operations Non Fire Stations,Health & Safety
300315H,*SPRUE SAFETY PRODUCTS LTD====,1072710,1,988.8,FIRE DETECTORS,02/04/2015,988.8,Operations Non Fire Stations,Health & Safety
300315H,*SPRUE SAFETY PRODUCTS LTD====,1072711,1,865.2,FIRE DETECTORS,02/04/2015,865.2,Operations Non Fire Stations,Health & Safety
300315H,*SPRUE SAFETY PRODUCTS LTD====,1072713,1,741.6,FIRE DETECTORS,02/04/2015,741.6,Operations Non Fire Stations,Health & Safety
300315H,*SPRUE SAFETY PRODUCTS LTD====,1072716,1,988.8,FIRE DETECTORS,02/04/2015,988.8,Operations Non Fire Stations,Health & Safety
800060029,*JAMES HUNTER (OUTFITTERS) LTD,107993,1,148.9,CLOTHING,02/04/2015,287.72,Operations Fire Stations,Clothing
800060029,*JAMES HUNTER (OUTFITTERS) LTD,107993,2,138.82,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800060030,*JAMES HUNTER (OUTFITTERS) LTD,107994,1,145.74,CLOTHING,02/04/2015,284.56,Operations Fire Stations,Clothing
800060030,*JAMES HUNTER (OUTFITTERS) LTD,107994,2,138.82,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800060033,*JAMES HUNTER (OUTFITTERS) LTD,107997,1,231.56,CLOTHING,02/04/2015,293.35,Operations Fire Stations,Clothing
800060033,*JAMES HUNTER (OUTFITTERS) LTD,107997,2,61.79,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800060035,*JAMES HUNTER (OUTFITTERS) LTD,107999,1,362.23,CLOTHING,02/04/2015,580.84,Corporate Management Team,Clothing
800060035,*JAMES HUNTER (OUTFITTERS) LTD,107999,2,218.61,CLOTHING,02/04/2015,,Corporate Management Team,Clothing
800060064,*JAMES HUNTER (OUTFITTERS) LTD,108028,1,293.13,CLOTHING,02/04/2015,293.13,Operations Fire Stations,Clothing
800060070,*JAMES HUNTER (OUTFITTERS) LTD,108048,1,354.69,CLOTHING,02/04/2015,427.56,HR Management,Clothing
800060070,*JAMES HUNTER (OUTFITTERS) LTD,108048,2,72.87,CLOTHING,02/04/2015,,HR Management,Clothing
800060075,*JAMES HUNTER (OUTFITTERS) LTD,108053,1,294.48,CLOTHING,02/04/2015,294.48,Operations Fire Stations,Clothing
800060077,*JAMES HUNTER (OUTFITTERS) LTD,108055,1,293.13,CLOTHING,02/04/2015,293.13,Fire Safety Regulation,Clothing
240315H,NISBETS=======================,10888174,1,269.99,CATERING EQUIPMENT,02/04/2015,269.99,Operations Fire Stations,Catering
141007,AFFINITY WATER,13273822S,1,305.07,WATER & SEWERAGE RATES,02/04/2015,305.07,Technical And Service Support,Utilities
141008,MR DAVID CLAXTON,134551,1,675,PROFESSIONAL FEES ENFORCEMENT,02/04/2015,675,Legal & Democratic Services,Legal Services
300315H,IRG ADVISORS LLP,14004000 SJM 50815,1,"5,000.00",ADVERTISING,02/04/2015,"5,000.00",HR Management,Human Resources
250315C,KIER BUILDING SERV ENGINEERS==,14090190,1,"16,460.05",STRATEGIC (CYCLICAL),02/04/2015,"16,460.05",Technical And Service Support,"Works - Construction, R&M"
800059925,*NPS (SHOES) LTD,14462,1,30.05,CLOTHING,02/04/2015,"4,041.05",Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,2,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,3,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,4,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,5,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,6,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,7,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,8,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,9,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,10,30.05,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,11,30.05,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,12,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,13,30.05,CLOTHING,02/04/2015,,Fire Safety Regulation,Clothing
800059925,*NPS (SHOES) LTD,14462,14,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,15,30.05,CLOTHING,02/04/2015,,Control and Mobilising,Clothing
800059925,*NPS (SHOES) LTD,14462,16,30.05,CLOTHING,02/04/2015,,Command Units,Clothing
800059925,*NPS (SHOES) LTD,14462,17,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,18,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,19,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,20,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,21,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,22,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,23,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,24,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,25,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,26,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,27,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,28,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,29,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,30,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,31,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,32,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,33,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,34,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,35,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,36,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,37,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,38,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,39,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,40,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,41,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,42,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,43,29.45,CLOTHING,02/04/2015,,Firefighter Trainees,Clothing
800059925,*NPS (SHOES) LTD,14462,44,29.45,CLOTHING,02/04/2015,,Firefighter Trainees,Clothing
800059925,*NPS (SHOES) LTD,14462,45,29.45,CLOTHING,02/04/2015,,Firefighter Trainees,Clothing
800059925,*NPS (SHOES) LTD,14462,46,29.45,CLOTHING,02/04/2015,,Firefighter Trainees,Clothing
800059925,*NPS (SHOES) LTD,14462,47,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,48,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,49,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,50,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,51,29.45,CLOTHING,02/04/2015,,Firefighter Trainees,Clothing
