 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Title
100415G,*SUPPLIES TEAM================,7340449,1,600,COMMUNITY RELATIONS,16/04/2015,"2,850.00",Community Safety Delivery,ICT
100415G,*SUPPLIES TEAM================,7340449,2,360,COMMUNITY RELATIONS,16/04/2015,,Community Safety Delivery,ICT
100415G,*SUPPLIES TEAM================,7340449,3,840,COMMUNITY RELATIONS,16/04/2015,,Community Safety Delivery,ICT
100415G,*SUPPLIES TEAM================,7340449,4,"1,050.00",COMMUNITY RELATIONS,16/04/2015,,Community Safety Delivery,ICT
100415G,*SUPPLIES TEAM================,7340450,1,600,COMMUNITY RELATIONS,16/04/2015,"2,850.00",Community Safety Delivery,ICT
100415G,*SUPPLIES TEAM================,7340450,2,360,COMMUNITY RELATIONS,16/04/2015,,Community Safety Delivery,ICT
100415G,*SUPPLIES TEAM================,7340450,3,840,COMMUNITY RELATIONS,16/04/2015,,Community Safety Delivery,ICT
100415G,*SUPPLIES TEAM================,7340450,4,"1,050.00",COMMUNITY RELATIONS,16/04/2015,,Community Safety Delivery,ICT
130415H,STANBURYS LTD,7925,1,"5,400.00",CONSULTANTS,16/04/2015,"5,400.00",Technical And Service Support,Environmental Services
090415G,TWO SERVICES LTD==============,81517,1,681.5,CATERING EQUIPMENT,16/04/2015,"1,449.50",Operations Fire Stations,Catering
090415G,TWO SERVICES LTD==============,81517,2,713,CATERING EQUIPMENT,16/04/2015,,Operations Fire Stations,Catering
090415G,TWO SERVICES LTD==============,81517,3,55,CATERING EQUIPMENT,16/04/2015,,Operations Fire Stations,Catering
080415H,COLLEGE OF POLICING,90024204,1,400,PROFESSIONAL DEVELOPMENT,16/04/2015,400,Community Safety Delivery,Human Resources
130415H,COGNITIVE CENTRE,98744,1,295,PROFESSIONAL DEVELOPMENT,16/04/2015,295,Community Safety Delivery,Human Resources
100415G,MORRISEY ELECTRICAL & BUILDING,BM/DEPTFORD/3,1,990.24,DEVELOPMENT  EXPENSES-CONTRACT,16/04/2015,990.24,Technical and Service Support,"Works - Construction, R&M"
090415G,WAVERLEY LEARNING,C4909,1,"1,600.00",PROFESSIONAL DEVELOPMENT,16/04/2015,"1,600.00",Fire Safety Regulation,Human Resources
100415G,THAMES WATER UTILITIES LTD====,CBA1502850,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503178,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503179,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503181,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503182,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503190,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503191,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503192,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503194,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503195,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503196,1,307,CURRENT HYDRANT COSTS,16/04/2015,307,Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503197,1,477,CURRENT HYDRANT COSTS,16/04/2015,477,Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503200,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503202,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503203,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503206,1,459,CURRENT HYDRANT COSTS,16/04/2015,459,Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503212,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503382,1,307,CURRENT HYDRANT COSTS,16/04/2015,307,Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503384,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503385,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503387,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503398,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503401,1,477,CURRENT HYDRANT COSTS,16/04/2015,477,Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503402,1,477,CURRENT HYDRANT COSTS,16/04/2015,477,Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503404,1,477,CURRENT HYDRANT COSTS,16/04/2015,477,Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503406,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503407,1,477,CURRENT HYDRANT COSTS,16/04/2015,477,Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503409,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503410,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503411,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503413,1,"1,185.00",CURRENT HYDRANT COSTS,16/04/2015,"1,185.00",Operational Resilience,Utilities
090415H,THAMES WATER UTILITIES LTD====,CBA1503429,1,280,CURRENT HYDRANT COSTS,16/04/2015,280,Operational Resilience,Utilities
100415G,SURVITEC SERVICE &DISTRIBUTION,CD30812536,1,665.4,PROTECTIVE EQUIPMENT,16/04/2015,"2,090.40",Technical And Service Support,Fire & Rescue
100415G,SURVITEC SERVICE &DISTRIBUTION,CD30812536,2,"1,400.00",PROTECTIVE EQUIPMENT,16/04/2015,,Technical And Service Support,Fire & Rescue
100415G,SURVITEC SERVICE &DISTRIBUTION,CD30812536,3,25,PROTECTIVE EQUIPMENT,16/04/2015,,Technical And Service Support,Fire & Rescue
100415G,CHARGEMASTER PLC,CM150264,1,"6,720.75",ELECTRIC VEHICLE CHARGE POINT,16/04/2015,"6,720.75",Technical and Service Support,Environmental Services
130415H,E&S B DAVIS LTD,DAV/54615,1,295,OPERATIONAL EQUIP-PURCHASE,16/04/2015,295,Operations Fire Stations,Environmental Services
100415G,E&S B DAVIS LTD,DAV/55359,1,590,OPERATIONAL EQUIP-PURCHASE,16/04/2015,590,Operations Fire Stations,Environmental Services
100415G,E&S B DAVIS LTD,DAV/55491,1,295,OPERATIONAL EQUIP-PURCHASE,16/04/2015,295,Operations Fire Stations,Environmental Services
100415G,E&S B DAVIS LTD,DAV/55532,1,295,OPERATIONAL EQUIP-PURCHASE,16/04/2015,295,Operations Fire Stations,Environmental Services
100415G,E&S B DAVIS LTD,DAV/55537,1,325,OPERATIONAL EQUIP-PURCHASE,16/04/2015,325,Operations Fire Stations,Environmental Services
100415G,E&S B DAVIS LTD,DAV/55613,1,590,OPERATIONAL EQUIP-PURCHASE,16/04/2015,590,Operations Fire Stations,Environmental Services
130415H,MICROSOFT IRELAND OPS LTD=====,E04000V98M,1,"1,449.86",CONSULTANTS,16/04/2015,"1,449.86",Corporate Projects,ICT
080415H,THE WYEDEAN WEAVING COMPANY LD,I-14617,1,471.75,UNIFORMS - POMS,16/04/2015,"1,301.95",Procurement,Clothing
080415H,THE WYEDEAN WEAVING COMPANY LD,I-14617,2,483,UNIFORMS - POMS,16/04/2015,,Procurement,Clothing
080415H,THE WYEDEAN WEAVING COMPANY LD,I-14617,3,347.2,UNIFORMS - POMS,16/04/2015,,Procurement,Clothing
080415H,THE WYEDEAN WEAVING COMPANY LD,I-4532,1,91.6,UNIFORMS - POMS,16/04/2015,507.4,Procurement,Clothing
080415H,THE WYEDEAN WEAVING COMPANY LD,I-4532,2,329,UNIFORMS - POMS,16/04/2015,,Procurement,Clothing
080415H,THE WYEDEAN WEAVING COMPANY LD,I-4532,3,86.8,UNIFORMS - POMS,16/04/2015,,Procurement,Clothing
090415G,WM ENGINEERING SERVICES LTD===,I-4869,1,323.6,TACTICAL DAY TO DAY,16/04/2015,323.6,Technical And Service Support,"Works - Construction, R&M"
090415G,WM ENGINEERING SERVICES LTD===,I-4897,1,299.8,TACTICAL DAY TO DAY,16/04/2015,299.8,Technical And Service Support,"Works - Construction, R&M"
090415G,WM ENGINEERING SERVICES LTD===,I-4901,1,273.33,TACTICAL DAY TO DAY,16/04/2015,273.33,Technical And Service Support,"Works - Construction, R&M"
090415G,WM ENGINEERING SERVICES LTD===,I-4903,1,309.3,TACTICAL DAY TO DAY,16/04/2015,309.3,Technical And Service Support,"Works - Construction, R&M"
090415G,WM ENGINEERING SERVICES LTD===,I-4905,1,393.25,TACTICAL DAY TO DAY,16/04/2015,393.25,Technical And Service Support,"Works - Construction, R&M"
090415G,WM ENGINEERING SERVICES LTD===,I-4911,1,385.75,TACTICAL DAY TO DAY,16/04/2015,385.75,Technical And Service Support,"Works - Construction, R&M"
090415G,WM ENGINEERING SERVICES LTD===,I-4913,1,300.3,TACTICAL DAY TO DAY,16/04/2015,300.3,Technical And Service Support,"Works - Construction, R&M"
090415G,WM ENGINEERING SERVICES LTD===,I-4918,1,336.3,TACTICAL DAY TO DAY,16/04/2015,336.3,Technical And Service Support,"Works - Construction, R&M"
090415G,WM ENGINEERING SERVICES LTD===,I-4919,1,282,TACTICAL DAY TO DAY,16/04/2015,282,Technical And Service Support,"Works - Construction, R&M"
090415G,WM ENGINEERING SERVICES LTD===,I-4921,1,294.3,TACTICAL DAY TO DAY,16/04/2015,294.3,Technical And Service Support,"Works - Construction, R&M"
100415G,DAYS CONTRACT HIRE,INV00068001,1,284.13,TELEMETRY MAINTENANCE,16/04/2015,284.13,Technical And Service Support,Vehicle Management
100415G,DAYS CONTRACT HIRE,INV00068002,1,284.13,TELEMETRY MAINTENANCE,16/04/2015,284.13,Technical And Service Support,Vehicle Management
130415H,COFELY WORKPLACE LIMITED,M134686,1,"2,920.93",STRATEGIC (NON CYCLICAL),16/04/2015,"2,920.93",Technical and Service Support,"Works - Construction, R&M"
090415G,PHOENIX SOFTWARE LTD==========,OP/I750930,1,565,MAINTENANCE & SUPPORT,16/04/2015,565,Information and Communication Technology,ICT
070415G,HUNTER LODGE==================,SI-05777,1,"32,000.00",ADVERTISING,16/04/2015,"32,000.00",HR Management,Facilities & Management S
080415H,SUTTON & EAST SURREY WATER PLC,SI033366,1,"1,152.00",CURRENT HYDRANT COSTS,16/04/2015,"1,152.00",Operational Resilience,Utilities
130415H,EDM GROUP LIMITED,SI164792,1,"5,458.40",OFFICE EQUIPMENT,16/04/2015,"5,458.40",Operational Resilience,Facilities & Management S
070415H,LC ENERGY LTD,SIN003322,1,595.8,GAS,16/04/2015,595.8,Technical And Service Support,Utilities
130415H,BERENDSEN UK LTD,SN002030671,1,"8,308.00",LAUNDRY,16/04/2015,"8,308.00",Operations Non Fire Stations,Cleaning & Janitorial
100415G,SPEAKERS TRUST,WEB/004462,1,"1,100.00",GENERAL,16/04/2015,"1,100.00",LIFE - LFB Funded,Human Resources
800060278,*XMA LTD,X743834,1,360,OPERATIONAL EQUIP-PURCHASE,16/04/2015,360,Operational Resilience,ICT
090415G,SUMTOTAL SYSTEMS UK LTD,144154,1,"83,976.74",MAINTENANCE & SUPPORT,20/04/2015,"83,976.74",Information and Communication Technology,ICT
141019,MISS NAOMI LING===============,119293,1,"2,000.00",COUNSELS FEES,20/04/2015,"2,000.00",Compensation Budgets,legal services
150415H,*GET YOURSELF NOTICED LTD,12173,1,108,SPECIALIST EQUIPMENT,20/04/2015,765.5,Communications,Facilities & Management S
150415H,*GET YOURSELF NOTICED LTD,12173,2,137.28,SPECIALIST EQUIPMENT,20/04/2015,,Communications,Facilities & Management S
150415H,*GET YOURSELF NOTICED LTD,12173,3,276.85,SPECIALIST EQUIPMENT,20/04/2015,,Communications,Facilities & Management S
150415H,*GET YOURSELF NOTICED LTD,12173,4,243.37,SPECIALIST EQUIPMENT,20/04/2015,,Communications,Facilities & Management S
130415H,SILVERSANDS LIMITED===========,122073,1,950,PURCHASES-SOFTWARE,20/04/2015,950,Information and Communication Technology,ICT
141019,REBECCA THOMAS,155761/INVRT144,1,350,COUNSELS FEES,20/04/2015,350,Compensation Budgets,Legal services
140415H,IRON MOUNTAIN (UK) LTD========,16194212,1,"2,334.64",MAINTENANCE & SUPPORT,20/04/2015,"2,334.64",Information and Communication Technology,ICT
150415H,TRINITY EVENT SOLUTIONS LTD,1655694-80305978,1,396,PROFESSIONAL DEVELOPMENT,20/04/2015,396,Procurement,Human Resources
150415H,TRINITY EVENT SOLUTIONS LTD,1655694-80306537,1,999,PROFESSIONAL DEVELOPMENT,20/04/2015,999,Procurement,Human Resources
150415H,DRON & WRIGHT=================,17626,1,559.1,PROFESSIONAL SERVICES,20/04/2015,559.1,Property PFI,Facilities & Management S
150415H,HARRIS INSTALLATION SERVICES,17708,1,"3,495.71",REMOVALS,20/04/2015,"3,495.71",Technical And Service Support,Facilities & Management S
140415H,REED CHILL CHEATER LTD,18769,1,"7,000.00",OPERATIONAL EQUIP-PURCHASE,20/04/2015,"14,035.00",Operations Non Fire Stations,Clothing
140415H,REED CHILL CHEATER LTD,18769,2,"7,000.00",OPERATIONAL EQUIP-PURCHASE,20/04/2015,,Operations Non Fire Stations,Clothing
140415H,REED CHILL CHEATER LTD,18769,3,35,OPERATIONAL EQUIP-PURCHASE,20/04/2015,,Operations Non Fire Stations,Clothing
090415G,CRISPIN HUGHES================,2290,1,359.9,PRESS OFFICE,20/04/2015,359.9,Communications,Facilities & Management S
150415H,*LOCKHART CATERING EQUIPMENT,2393456,1,33.84,CATERING EQUIPMENT,20/04/2015,463.34,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,2,2.76,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,3,4.71,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,4,5.47,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,5,5.39,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,6,3.92,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,7,56.76,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,8,5.14,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,9,10.6,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,10,49.76,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,11,13.15,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,12,6.21,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,13,2.79,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,14,10.04,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,15,17.36,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,16,25.26,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,17,6.97,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,18,5.39,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,19,13.94,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,20,2.1,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,21,3.09,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,22,5.55,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,23,4.66,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,24,17.85,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,25,1.67,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,26,56.16,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,27,1.72,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,28,1.92,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,29,5.34,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,30,31.66,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,31,27.82,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,32,13.01,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,33,7.67,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
150415H,*LOCKHART CATERING EQUIPMENT,2393456,34,3.66,CATERING EQUIPMENT,20/04/2015,,Operations Fire Stations,Catering
140415H,BRISTOL UNIFORMS LTD==========,290387,1,766.38,CLOTHING,20/04/2015,766.38,Procurement,Clothing
140415H,BRISTOL UNIFORMS LTD==========,290388,1,"197,575.56",CLOTHING,20/04/2015,"197,575.56",Procurement,Clothing
140415H,BRISTOL UNIFORMS LTD==========,294438,1,766.38,CLOTHING,20/04/2015,766.38,Procurement,Clothing
140415H,BRISTOL UNIFORMS LTD==========,294449/594,1,"2,936.97",CLOTHING,20/04/2015,"2,936.97",Procurement,Clothing
150415H,VIGILANCE PROPERTIES,3306,1,"3,126.00",DAY TO DAY MINOR IMPS,20/04/2015,"3,126.00",Property PFI,Facilities & Management S
140415H,HUNTERS CONTRACTS LIMITED,349754,1,507.6,OFFICE FURNITURE,20/04/2015,"1,105.20",Fire Safety Regulation,Furniture
140415H,HUNTERS CONTRACTS LIMITED,349754,2,507.6,OFFICE FURNITURE,20/04/2015,,Fire Safety Regulation,Furniture
140415H,HUNTERS CONTRACTS LIMITED,349754,3,90,OFFICE FURNITURE,20/04/2015,,Fire Safety Regulation,Furniture
090415G,W.GILCHRIST & CO,3585,1,642.5,OPERATIONAL EQUIP-PURCHASE,20/04/2015,642.5,Technical And Service Support,Catering
140415H,MCGRATH BROS (WASTE CONTROL) L,360265,1,557.5,REFUSE COLLECTION,20/04/2015,557.5,Technical And Service Support,Environmental Services
140415H,MCGRATH BROS (WASTE CONTROL) L,360271,1,820,REFUSE COLLECTION,20/04/2015,"2,376.10",Technical And Service Support,Environmental Services
140415H,MCGRATH BROS (WASTE CONTROL) L,360271,2,900,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
140415H,MCGRATH BROS (WASTE CONTROL) L,360271,3,656.1,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
140415H,MCGRATH BROS (WASTE CONTROL) L,360276,1,"1,605.40",REFUSE COLLECTION,20/04/2015,"1,605.40",Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,360280,1,449.6,REFUSE COLLECTION,20/04/2015,"2,974.65",Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,360280,2,410,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,360280,3,"1,022.40",REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,360280,4,"1,092.65",REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
140415H,MCGRATH BROS (WASTE CONTROL) L,360284,1,"1,715.00",REFUSE COLLECTION,20/04/2015,"2,530.90",Technical And Service Support,Environmental Services
140415H,MCGRATH BROS (WASTE CONTROL) L,360284,2,815.9,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,1,288.34,REFUSE COLLECTION,20/04/2015,"17,382.32",Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,2,132.1,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,3,245.5,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,4,90.74,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,5,112.16,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,6,90.74,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,7,29.52,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,8,164.5,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,9,120.26,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,10,90.74,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,11,36.9,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,12,127.6,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,13,172.6,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,14,304.54,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,15,140.2,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,16,304.54,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,17,82.64,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,18,304.54,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,19,36.9,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,20,377.44,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,21,103.3,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,22,82.64,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,23,95.2,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,24,36.9,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,25,132.1,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,26,90.74,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,27,304.54,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,28,239.74,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,29,90.94,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,30,120.26,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,31,299.36,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,32,140.2,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,33,112.16,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
150415H,MCGRATH BROS (WASTE CONTROL) L,361596,34,160.76,REFUSE COLLECTION,20/04/2015,,Technical And Service Support,Environmental Services
