 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
200917F,FIRMIN & SONS LTD=============,80811,1,844.48,UNIFORMS - POMS,25/09/17,844.48,Procurement,Clothing
200917F,ROYAL MAIL (LONDON DIVISION),9055155189,1,305.83,POSTAL SERVICES,25/09/17,305.83,Information and Communication Technology,Mail Services
190917F,*ARCO GROUP THE,930468733,1,"3,536.61",OPERATIONAL EQUIP-PURCHASE,25/09/17,"3,536.61",Operational Resilience,Fire & Rescue
902786,H M REVENUE AND CUSTOMS,951PV00154498 -,7,"87,903.00",APPRENTICE LEVY,25/09/17,"87,903.00",Central Finance,Statutory Bodies
190917F,CAPTIAL PEOPLE,95209,1,864.00,REFRESHMENTS,25/09/17,864.00,Strategy & Inclusion,Catering
190917F,THE FREEMAN CO (UK) LTD,99021,1,"1,300.00",GENERAL,25/09/17,"1,300.00",Central Finance,Arts & Leisure Services
190917F,PITNEY BOWES PURCHASE POWER,BE888784,1,"4,168.24",POSTAL SERVICES,25/09/17,"4,168.24",Information and Communication Technology,Mail Services
050917K,BLUESKY SHAREPOINT CONSULTING,INV-1737,1,"4,250.00",CONSULTANTS,25/09/17,"4,250.00",National Operational Guidance Project,Consultancy
200917F,ALTIUS CONSULTING LIMITED,INV-UK-201800,1,"5,231.50",MAINTENANCE & SUPPORT,25/09/17,"5,231.50",Information and Communication Technology,Consultancy
190917F,SCOTTISH FIRE & RESCUE SERVICE,INV0002272,1,"26,842.12",FIRE AUTHS-MUTUAL ASSISTANCE,25/09/17,"26,842.12",National Operational Guidance Project,Statutory Bodies
190917F,PURDY CONTRACTS LTD,INV264072,1,"50,471.98",DEVELOPMENT  EXPENSES-CONTRACT,25/09/17,"50,471.98",Technical and Service Support,"Works - Construction, R&M"
190917F,PULLMAN MOTORS,PULL455,1,600.00,OPERATIONAL EQUIP-PURCHASE,25/09/17,600.00,Procurement,Vehicle Management
180917G,THERMO FISHER SCIENTIFIC MESST,RSI511667,1,"5,687.00",TELEMETRY MAINTENANCE,25/09/17,"5,813.00",Technical and Service Support,Environmental Services
180917G,THERMO FISHER SCIENTIFIC MESST,RSI511667,2,105.00,TELEMETRY MAINTENANCE,25/09/17,,Technical and Service Support,Environmental Services
180917G,THERMO FISHER SCIENTIFIC MESST,RSI511667,3,16.00,TELEMETRY MAINTENANCE,25/09/17,,Technical and Service Support,Environmental Services
180917G,THERMO FISHER SCIENTIFIC MESST,RSI511667,4,5.00,TELEMETRY MAINTENANCE,25/09/17,,Technical and Service Support,Environmental Services
902788,LAMBERT SMITH HAMPTON========,093053,1,"1,137,500.00",RENTS,27/09/17,"1,137,500.00",Technical and Service Support,Consultancy
902788,CANADA LIFE LIMITED,IA304_PR/67411,1,"730,652.51",RENTS,27/09/17,"730,652.51",Technical and Service Support,Consultancy
902787,BABCOCK TRAINING LTD,PTSI016717,1,"1,417,576.27",TRAINING CONTRACT,27/09/17,"1,680,782.06",Development and Training,Human Resources
902787,BABCOCK TRAINING LTD,PTSI016717,2,"263,205.79",TRAINING CONTRACT,27/09/17,,Development and Training,Human Resources
080917K,HEALTH MANAGEMENT LIMITED,0000167206,1,"1,338.28",THIRD PARTY REPORTS,28/09/17,"1,338.28",HR Management,Healthcare
