Identifier,Title,Description ,Currency,Amount awarded,Award Date,Planned Dates:Start Date,Planned Dates:End Date,Recipient Org:Name,Recipient Org:Identifier,Recipient Org:Charity Number,Recipient Org:Company Number,Funding Org:Identifier,Funding Org:Name,Funding Org:Department,Grant Programme:Title,Last Modified,Data Source,Approved by
360G-GLA-G7BKMVvGMv6Wtob,Grant to Inmidtown,To create a Business Improvement District in Farringdon/ Clerkenwell,GBP,30000,2015-05-29,2015-04-27,2016-03-31,Inmidtown,GB-COH-04187380,,04187380,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1245
360G-GLA-Gt4sHojlDj1Hv1i,Grant to Edgware Road Partnership,To create a Business Improvement District in Edgware Road,GBP,30000,2015-05-29,2015-04-27,2016-03-31,Edgware Road Partnership,GB-COH-08164848,,08164848,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1245
360G-GLA-GgHXhgQyN0VsD8P,Grant to LB Hackney,In relation to Wetland to Wetland Big Green Project,GBP,120000,2015-06-01,2015-06-01,2016-03-31,LB Hackney,GB-LAE-HCK,,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1429
360G-GLA-GNY7oYdSF55CuXl,Grant to LB Enfield,In relation to Firs Farm Wetland Big Green Project,GBP,175000,2015-06-02,2015-06-02,2016-03-31,LB Enfield,GB-LAE-ENF,,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1429
360G-GLA-GXRm1UHZtSIyf6c,Grant to Vision Redbridge Culture and Leisure,Riding the Roding Big Green Project,GBP,105000,2015-06-08,2015-06-08,2016-03-31,Vision Redbridge Culture and Leisure,GB-CHC-1122720,1122720,06032714,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1429
360G-GLA-Gy1FvaiACvISIcy,Grant to Turf Projects,Mayor's High Street Fund - bring vacant shop unit into use with artist led programme of events,GBP,15950,2015-06-08,2015-04-01,2016-04-01,Turf Projects,GB-CHC-1160527,1160527,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1469
360G-GLA-GSor4UNO0dWivZS,Grant to British Swimming,In relation to the FINA Diving World Series 2015,GBP,80000,2015-06-08,2015-06-08,2015-05-31,British Swimming,GB-COH-04092510,,04092510,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1339
360G-GLA-GgmJQCCcPLUKVLA,Grant to Amateur Swimming Association,To deliver Make a Splash programme in 2015-2017,GBP,350000,2015-06-08,2015-06-08,2017-03-31,Amateur Swimming Association,GB-COH-10931571,,10931571,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1342
360G-GLA-Glo9CTUgJcjnySN,Grant to South London Makerspace,Mayor's High Street Fund - to renovate a railway arch and equipping it as community workshop,GBP,18150,2015-06-09,2015-06-09,2016-04-01,South London Makerspace,GB-COH-08706591,,08706591,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1469
360G-GLA-GrzTbnrFlmymMFO,Grant to New West End Company,To establish BID in London's West End,GBP,30000,2015-06-09,2015-05-26,2016-03-31,New West End Company,GB-COH-04039488,,04039488,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1245
360G-GLA-GVVh7AEwHtIkhP3,Grant to Community Association of New Eltham,To improve overall appearance of New Eltham High Street,GBP,15500,2015-06-09,2015-06-09,2016-04-01,Community Association of New Eltham,GB-CHC-1066788,1066788,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1469
360G-GLA-GLJe46zTszXEH36,Grant to Create ,Chicken Town project to improve diets by introducing alternatives,GBP,15500,2015-06-10,2015-04-01,2016-03-31,Create London,GB-CHC-1146063,1146063,07586759,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1469
360G-GLA-GD2RDrew7CMCsfu,Grant to London Wildlife Trust,In relation to the Lost EFFRA Project,GBP,50000,2015-06-11,2015-06-11,2016-12-31,London Wildlife Trust,GB-CHC-283895,283895,01600379,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1250
360G-GLA-GoHGeQgLed38aFc,Grant to Groundwork London,In relation to the Climate Proofing Social Housing Landscapes Project,GBP,105000,2015-06-11,2015-06-11,2016-03-31,Groundwork London,GB-CHC-1121105,1121105,04212532,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1250
360G-GLA-GNPsHIZ22V3tdqy,Grant to Film London,Grant Funding for the Creative Industries,GBP,2750000,2015-06-11,,,Film London,GB-COH-04699825,,04699825,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1316
360G-GLA-GHGisgtsKkVbkqY,Grant to LB Islington,In relation to the Finsbury Park High Streets Programme,GBP,262000,2015-06-16,2015-05-18,2016-04-01,LB Islington,GB-LAE-ISL,,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1469
360G-GLA-GDdTP2Vv0T6Oacy,Grant to Centrepoint,To help create a pop-up café in existing homeless resource Centre,GBP,20000,2015-06-16,2015-04-01,2016-04-01,Centrepoint,GB-CHC-292411,292411,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1469
360G-GLA-G3BBMc0PVLElBne,Grant to Queens Park Community Council,"In respect of Queens Park High Street, The Harrow Road. Fit up vacant shop.",GBP,20000,2015-06-19,2015-04-01,2016-04-01,Queens Park Community Council,360G-GLA-R28Kt6T0R69uvU9,,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1469
360G-GLA-GsG7l0f2OKlTWT3,Grant to LB Bromley,To estalish BID in Bromley Town Centre,GBP,20000,2015-06-19,2015-04-28,2016-03-31,LB Bromley,GB-LAE-BRY,,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1245
360G-GLA-GTNxKZhShTyoDhG,Grant to Project Dirt,To support Project Dirt to integrate with the Speed Volunteering website API,GBP,3000,2015-06-20,2015-06-10,2015-07-25,Project Dirt,GB-COH-05611771,,05611771,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,Speed Volunteering project,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1182
360G-GLA-G1WGjIiTDXEZRLB,Grant to The Community Brain,To create a Museum of Futures in Surbiton,GBP,17000,2015-06-24,2015-04-01,2016-03-31,The Community Brain,GB-COH-07264912,,07264912,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1469
360G-GLA-GnUerBK7G1kmFyQ,Grant to LB Haringey,High Street Fund - Wood Green Meanwhile Campus,GBP,300000,2015-06-26,2015-04-01,2016-03-31,LB Haringey,GB-LAE-HRY,,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1469
360G-GLA-GSyM1ErvWRMXmXL,Grant to Do it trust,Speed volunteering maintenance,GBP,5100,2015-07-01,2016-03-01,2016-03-31,Do it trust,GB-CHC-1117891,1117891,,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,Speed Volunteering project,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1526
