Borough,Ward,Incidents,Incidents,Incidents,Incidents,Incidents,Primary fires,Primary fires,Primary fires,Primary fires,Primary fires,Arson,Arson,Arson,Arson,Arson,"Dwelling fires
(Accidental)","Dwelling fires
(Accidental)","Dwelling fires
(Accidental)","Dwelling fires
(Accidental)","Dwelling fires
(Accidental)",Fires in care homes and sheltered housing,Fires in care homes and sheltered housing,Fires in care homes and sheltered housing,Fires in care homes and sheltered housing,Fires in care homes and sheltered housing,Fire deaths,Fire deaths,Fire deaths,Fire deaths,Fire deaths,Fire serious injuries,Fire serious injuries,Fire serious injuries,Fire serious injuries,Fire serious injuries,,
Borough,Ward,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,,
Barnet,Colindale,201,169,178,209,174,29,24,27,28,21, 10 , 4 , 6 , 6 , 3 , 16 , 14 , 16 , 16 , 15 , , , , , , , , , , ,3,1,2,3,2,,
Barnet,Childs Hill,200,211,207,203,211,25,22,17,26,23, 6 , 4 , 2 , 6 , 3 , 12 , 13 , 12 , 8 , 11 ,2, , ,2, , , , , , ,4,2, ,1, ,,
Barnet,Burnt Oak,158,135,175,191,217,25,13,25,18,23, 14 , 10 , 24 , 18 , 17 , 13 , 8 , 17 , 12 , 11 ,1, ,2,1,1, , , , , ,3,2,1, ,1,,
Barnet,Brunswick Park,116,86,78,98,74,9,10,8,14,10, 1 , 4 , 3 , 5 , 4 , 7 , 7 , 4 , 7 , 5 ,2,1, ,1, , , , , , , , , , ,1,,
Bexley,Thamesmead East,133,157,135,131,157,30,30,20,27,19, 22 , 19 , 6 , 25 , 6 , 16 , 18 , 15 , 11 , 9 , , , , , , , , , , , ,2, , ,1,,
Bexley,St. Michael's,33,35,35,36,35,8,9,7,7,10, 4 , 3 , 1 , 1 , 4 , 4 , 5 , 4 , 6 , 3 , , , , , , , , , , , , , , ,1,,
Bexley,St. Mary's,55,57,73,80,53,8,4,14,9,4, 2 , 2 , 6 , 4 , 4 , 4 , 3 , 6 , 4 , 1 , , ,2, , , , , , , , , , ,1, ,,
Bexley,Sidcup,105,97,100,114,126,12,12,5,7,8, 4 ,   , 2 , 5 , 5 , 7 , 8 , 2 , 3 , 4 ,3,3,1,1,1, , , , , , ,2, ,1, ,,
Bexley,Northumberland Heath,54,36,47,45,64,13,9,17,8,10, 6 , 4 , 9 , 8 , 10 , 5 , 4 , 10 , 2 , 4 ,1,1, , , , , , , , , , , , , ,,
Bexley,North End,192,198,142,207,182,42,26,21,30,22, 36 , 34 , 21 , 39 , 20 , 11 , 9 , 6 , 13 , 8 ,3,2,1,1, , , , , , , , , , ,1,,
Bexley,Longlands,95,128,92,111,111,9,7,6,17,12, 1 , 3 , 3 , 5 , 2 , 5 , 3 , 4 , 6 , 7 ,2,2, ,2, , , , , , , ,3, , ,1,,
Bexley,Lesnes Abbey,75,68,91,115,66,15,11,19,27,12, 4 , 10 , 17 , 29 , 6 , 8 , 5 , 5 , 11 , 5 , , , , , , , , , , ,1, ,1,3,1,,
Bexley,Falconwood and Welling,56,34,63,62,63,5,2,11,13,16, 1 ,   , 5 , 4 , 12 , 5 ,   , 4 , 5 , 4 , , , , , , , , , , ,1, ,1,2,1,,
Bexley,Erith,217,213,197,231,227,23,20,22,32,39, 10 , 25 , 19 , 30 , 28 , 10 , 8 , 12 , 13 , 12 ,2,3, ,2,1, , , , , , , , ,1,2,,
Bexley,East Wickham,53,41,49,65,100,16,5,10,6,18, 1 , 1 , 6 , 7 , 6 , 13 , 2 , 7 , 3 , 8 , , ,2, ,1, , , , , ,1, , , ,6,,
Bexley,Danson Park,60,97,104,113,107,10,8,16,16,8, 5 , 3 , 11 , 10 , 6 , 4 , 3 , 5 , 8 , 4 , , ,1, ,1, , , , , ,1, ,2,2,1,,
Bexley,Crayford,109,130,141,135,128,13,17,20,18,18, 9 , 8 , 12 , 8 , 8 , 4 , 5 , 5 , 6 , 2 , , ,2,3,3, , , , , ,2, , , , ,,
Bexley,Cray Meadows,101,129,108,106,128,13,6,10,10,18, 7 , 3 , 8 , 5 , 12 , 2 , 4 , 1 , 4 , 3 ,1, , , , , , , , , , , , , ,1,,
Bexley,Colyers,76,58,45,53,65,12,14,10,6,10, 10 , 5 , 2 , 4 , 5 , 6 , 5 , 6 , 4 , 6 , , , ,1,1, , , , , , , ,1, ,1,,
Bexley,Christchurch,120,123,111,148,122,13,14,11,15,12, 2 , 7 , 5 , 5 , 5 , 8 , 3 , 2 , 2 , 6 ,2, ,1, ,1, , , , , ,1, , ,3,3,,
Bexley,Brampton,27,37,45,32,40,8,6, ,6,3, 1 , 3 ,   , 1 , 4 , 6 , 2 ,   , 2 ,   , , , , , , , , , , , , , , , ,,
Bexley,Blendon and Penhill,50,48,56,62,46,10,6,9,9,6, 1 , 2 , 3 , 3 , 5 , 1 , 2 , 1 , 2 , 4 , ,1, ,1, , , , ,1, , , , , , ,,
Bexley,Blackfen and Lamorbey,25,27,31,25,42,5,3,7,4,8, 1 , 1 , 2 , 2 , 1 , 4 , 3 , 6 , 1 , 5 , , , , , , , , , , , , , , , ,,
Bexley,Belvedere,157,114,139,139,161,20,20,25,19,19, 11 , 13 , 18 , 6 , 19 , 11 , 7 , 9 , 8 , 9 ,2,1,2,3,2, , , , , , , , , , ,,
Bexley,Barnehurst,84,93,112,89,94,12,4,13,11,14, 6 , 4 , 6 , 8 , 6 , 8 , 2 , 5 , 3 , 4 ,2,1,2,2, , , , , , , , , , ,1,,
Brent,Willesden Green,170,187,166,172,220,38,24,21,27,34, 13 , 3 , 3 , 6 , 13 , 17 , 12 , 11 , 16 , 17 ,2,1,1,2,1,1, , , , ,1,1, ,1,7,,
Brent,Wembley Central,211,190,153,184,155,18,13,24,21,12, 5 , 2 , 2 , 4 , 9 , 10 , 9 , 12 , 7 , 6 ,1, , , ,1, , , ,1, ,1,2,1,1,1,,
Brent,Welsh Harp,92,126,115,102,131,12,18,17,18,19, 5 , 4 , 3 , 3 , 8 , 5 , 9 , 8 , 10 , 10 ,1,2, ,1,1, , , , , ,2, , ,5,2,,
