Borough,Ward,Incidents,Incidents,Incidents,Incidents,Incidents,Primary fires,Primary fires,Primary fires,Primary fires,Primary fires,Arson,Arson,Arson,Arson,Arson,"Dwelling fires
(Accidental)","Dwelling fires
(Accidental)","Dwelling fires
(Accidental)","Dwelling fires
(Accidental)","Dwelling fires
(Accidental)",Fires in care homes and sheltered housing,Fires in care homes and sheltered housing,Fires in care homes and sheltered housing,Fires in care homes and sheltered housing,Fires in care homes and sheltered housing,Fire deaths,Fire deaths,Fire deaths,Fire deaths,Fire deaths,Fire serious injuries,Fire serious injuries,Fire serious injuries,Fire serious injuries,Fire serious injuries,,
Borough,Ward,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,,
City of London,Cripplegate,45,52,39,44,40,1,1,4,2,3,   ,   , 1 ,   ,   ,   , 1 , 3 , 2 , 1 , , , , , , , , , , , , ,1, , ,,
City of London,Cornhill,38,43,32,48,49,2,3,3,1,3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , , , , , , , , , , , , , , , ,,
City of London,Cordwainer,30,41,43,62,67,3,3,2,1, ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , , , , , , , , , , , , , , , ,,
City of London,Coleman Street,51,49,60,51,58,5,3,5,3,3,   ,   ,   , 3 ,   ,   ,   ,   ,   ,   , , , , , , , , , , , , , , , ,,
City of London,Cheap,29,23,22,33,22,1, ,3,4,1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , , , , , , , , , , , , , , , ,,
City of London,Castle Baynard,109,130,98,108,122,5,8,7,3,9,   ,   ,   , 1 ,   , 1 , 2 , 1 ,   ,   , , , , , , , , , , , , , , ,1,,
City of London,Candlewick,57,39,31,49,56, ,2, ,3,1,   ,   ,   ,   ,   ,   ,   ,   ,   , 1 , , , , , , , , , , , , , , , ,,
City of London,Broad Street,47,52,58,47,41, ,2,2,5,3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , , , , , , , , , , , , , , , ,,
City of London,Bridge,43,42,41,34,26,2,1,4,2,2,   ,   ,   ,   , 1 , 1 ,   ,   ,   ,   , , , , , , , , , , , , , , , ,,
City of London,Bread Street,19,25,26,22,28, ,1,1,1,4,   ,   , 1 ,   ,   ,   ,   ,   ,   ,   , , , , , , , , , , , , , , , ,,
City of London,Bishopsgate,75,112,105,124,104,10,10,5,9,3, 1 , 2 , 1 ,   ,   ,   ,   ,   ,   ,   , , , , , , , , , , , , , , , ,,
City of London,Billingsgate,28,15,31,35,35,1,1,1, ,3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , , , , , , , , , , , , , , , ,,
City of London,Bassishaw,30,22,21,24,19,1,1,1, , ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , , , , , , , , , , , , , , , ,,
City of London,Aldgate,49,45,45,38,46,6,2,3,1,5,   ,   ,   ,   , 1 ,   ,   ,   ,   ,   , , , , , , , , , , , , , , , ,,
City of London,Aldersgate,21,40,27,22,24, ,1,2, , ,   ,   ,   ,   ,   ,   ,   , 2 ,   ,   , , , , , , , , , , , , ,1, , ,,
Croydon,Woodside,112,129,124,154,162,16,20,18,25,22, 5 , 10 , 6 , 6 , 7 , 9 , 17 , 8 , 16 , 11 ,1, , ,2,2, , ,1, , ,1, ,1,8,1,,
Croydon,West Thornton,187,218,152,149,180,42,32,26,27,24, 15 , 13 , 5 , 9 , 7 , 20 , 18 , 10 , 13 , 11 , , ,1,1, , , , , , ,5,5,1, ,6,,
Croydon,Waddon,228,263,198,201,244,29,32,15,23,35, 11 , 15 , 6 , 3 , 15 , 13 , 11 , 9 , 9 , 16 ,2,3,1,1, , ,1,1, ,1,1,2, ,1,3,,
Croydon,Upper Norwood,129,141,149,125,165,20,18,21,16,13, 3 , 5 , 7 , 5 , 5 , 17 , 8 , 13 , 13 , 9 ,1, , , , , , , ,1, ,4,1,4, , ,,
Croydon,Thornton Heath,165,171,152,164,172,31,32,19,34,24, 6 , 4 , 7 , 7 , 4 , 16 , 18 , 13 , 20 , 16 ,3, , ,2, , , , , , ,2,2,1,5,2,,
Croydon,South Norwood,183,219,189,201,182,28,26,19,26,17, 7 , 16 , 2 , 7 , 4 , 18 , 11 , 15 , 16 , 11 ,1,3,1,1,1, , , , , ,8,2, ,2, ,,
Croydon,Shirley,69,76,95,80,101,5,9,14,13,16, 4 , 6 , 7 , 10 , 8 , 5 , 3 , 8 , 7 , 8 , ,1, , ,1, , , , , ,3,1, , , ,,
Croydon,Selsdon and Ballards,71,70,74,63,56,11,8,9,6,10, 1 , 3 , 4 , 3 , 2 , 6 , 5 , 4 , 5 , 5 , , , , , , , , , , ,1,3,4, , ,,
Croydon,Selhurst,243,237,216,248,251,36,29,37,26,38, 14 , 5 , 18 , 11 , 10 , 19 , 16 , 18 , 13 , 24 , ,5,2,1, ,1, , , , ,3,2,3,1,1,,
Croydon,Sanderstead,69,78,60,56,61,10,5,10,10,3, 5 , 2 , 3 , 5 , 2 , 6 , 4 , 6 , 4 , 2 ,1, , ,1, , , , , , ,1, ,2, , ,,
Croydon,Purley,127,145,122,141,182,11,14,13,17,12, 3 , 4 , 1 , 1 , 9 , 7 , 7 , 6 , 14 , 5 ,1,1, , ,2, , , , , ,5,5, ,2,1,,
Croydon,Norbury,128,138,192,164,205,12,23,30,27,17, 4 , 5 , 5 , 1 , 3 , 6 , 13 , 17 , 16 , 7 , , ,2,1,1, , ,1, , , , , , , ,,
Croydon,New Addington,110,110,120,117,140,23,19,19,18,24, 17 , 15 , 27 , 21 , 24 , 8 , 8 , 8 , 7 , 8 , ,2,1,1, , , , , , , ,4,3, ,2,,
Croydon,Kenley,61,104,90,100,95,12,11,15,14,13, 3 , 3 , 4 , 2 , 8 , 8 , 8 , 9 , 7 , 8 , , ,2,1, , , , , , , ,2, ,2,1,,
Croydon,Heathfield,106,146,115,105,106,17,18,14,14,14, 11 , 5 , 15 , 15 , 9 , 8 , 8 , 3 , 5 , 5 , , , , , , , , , , , , ,1, , ,,
Croydon,Fieldway,173,156,158,128,156,19,16,21,13,18, 29 , 31 , 28 , 9 , 27 , 8 , 12 , 12 , 11 , 7 ,2,1, , , , , , , , ,1, , , , ,,
Croydon,Fairfield,410,469,383,466,453,34,41,35,35,41, 10 , 10 , 7 , 8 , 17 , 12 , 13 , 17 , 13 , 14 ,5,6,4,3,2, , , ,1, ,2,3,4,5,3,,
Croydon,Croham,133,130,116,97,123,19,17,10,20,16, 5 , 4 , 3 , 5 , 6 , 10 , 10 , 5 , 13 , 10 , ,2, ,1, , , , , , , ,1,1,2, ,,
Croydon,Coulsdon West,80,92,80,69,116,19,12,11,7,15, 8 , 2 , 6 , 1 ,   , 7 , 8 , 6 , 4 , 12 , ,1, ,1, , , , , , ,2, , , ,1,,
Croydon,Coulsdon East,105,94,75,46,79,13,11,10,12,13, 8 , 3 , 10 , 6 , 6 , 6 , 4 , 4 , 3 , 5 , ,2,1, ,1, , , , , , , ,1, , ,,
Croydon,Broad Green,280,316,350,321,323,24,34,47,41,21, 30 , 26 , 22 , 19 , 13 , 7 , 16 , 21 , 18 , 8 ,1, , , , , , , , , ,4,1,2,2, ,,
Croydon,Bensham Manor,152,149,118,107,115,23,18,19,11,16, 3 , 4 ,   , 2 , 3 , 17 , 15 , 13 , 9 , 9 ,1, , ,1, , , , , , ,5,2,4,2,3,,
Croydon,Ashburton,112,123,112,104,112,16,15,13,14,20, 9 , 9 , 6 , 5 , 5 , 6 , 8 , 7 , 7 , 9 , , , , , , , , , , ,1, ,1,1,1,,
Croydon,Addiscombe,128,125,105,138,150,15,19,16,23,19, 5 , 3 , 3 , 2 , 8 , 8 , 13 , 9 , 17 , 9 , ,2, ,2,1, , , , , , ,7, ,2, ,,
Ealing,Walpole,130,99,122,95,120,9,7,13,11,15, 3 ,   , 5 , 1 , 2 , 5 , 3 , 8 , 5 , 9 ,2,1, , , , , , , , , , , , ,1,,
Ealing,Southfield,113,109,89,114,121,13,10,13,9,8, 1 , 5 , 1 , 1 , 1 , 10 , 6 , 10 , 7 , 5 ,1,1,1, ,1,1, ,1, , ,2,2,1, ,6,,
Ealing,Southall Green,119,95,99,93,138,20,9,19,15,23, 18 , 4 , 11 , 15 , 15 , 6 , 6 , 7 , 9 , 6 , , , , , ,1, , , , ,12, ,1,3, ,,
Ealing,Southall Broadway,174,175,125,113,141,20,23,13,16,21, 16 , 10 , 6 , 12 , 12 , 4 , 8 , 4 , 5 , 11 , , , , ,1,1, , , ,1,2,1,5, ,2,,
Ealing,South Acton,248,220,192,243,267,19,26,26,24,26, 5 , 4 , 2 , 4 , 4 , 12 , 14 , 16 , 15 , 16 ,2,2,8,2,2, , ,1,1, , ,3,1, ,8,,
Ealing,Perivale,91,106,112,108,135,11,16,17,19,14, 1 , 2 , 4 , 5 , 7 , 5 , 6 , 9 , 5 , 8 , , , ,1, , , , , , ,2,3,1,1, ,,
Ealing,Norwood Green,273,209,166,157,162,23,27,13,22,15, 8 , 11 , 8 , 5 , 6 , 6 , 11 , 5 , 8 , 5 ,1, ,1, ,3, , ,1, , ,1,15, , ,5,,
Ealing,Northolt West End,165,191,163,186,194,22,25,11,13,21, 8 , 9 , 5 , 7 , 13 , 10 , 10 , 8 , 7 , 6 ,2,2,1,1,2, , , , , ,1,2, ,1, ,,
Ealing,Northolt Mandeville,161,126,137,152,149,25,18,22,17,16, 15 , 11 , 12 , 11 , 12 , 9 , 7 , 10 , 7 , 9 , ,1,1,1, , , , , , ,1,1, , ,1,,
Ealing,Northfield,54,76,58,64,91,11,13,6,5,9, 3 , 2 , 3 ,   , 2 , 5 , 6 , 3 , 3 , 6 ,1,1, , ,3, , , , , ,1, , , , ,,
Ealing,North Greenford,119,90,66,85,74,8,7,11,12,7, 9 , 7 , 5 , 6 , 3 , 3 , 3 , 4 , 5 , 5 , , , , , , , , , , ,1, , ,2, ,,
Ealing,Lady Margaret,66,61,63,53,64,8,11,10,10,7, 7 , 8 , 4 , 3 , 5 , 5 , 5 , 6 , 4 , 3 , , , , , , , , , ,1, ,3, , ,2,,
Ealing,Hobbayne,118,119,80,138,118,17,18,14,14,14, 3 , 5 , 4 , 5 , 6 , 11 , 11 , 9 , 7 , 7 ,1,2,1,3, , , , , , , ,1, ,3,2,,
Ealing,Hanger Hill,122,134,115,109,129,17,14,23,24,6, 4 , 1 , 7 , 3 , 7 , 8 , 6 , 9 , 17 , 3 ,1, ,1, ,1, , , , , , , ,3, , ,,
Ealing,Greenford Green,124,133,101,133,165,17,23,8,10,17, 4 , 2 ,   , 5 , 4 , 4 , 12 , 5 , 5 , 6 ,2, , ,1, , , , , , ,4,1,1,1, ,,
Ealing,Greenford Broadway,139,149,125,166,181,28,16,12,19,25, 9 , 7 , 6 , 11 , 13 , 12 , 9 , 7 , 10 , 10 , , ,1,1, , , , , , ,3, ,2,2, ,,
Ealing,Elthorne,177,163,156,158,165,22,12,23,24,21, 11 , 2 , 7 , 2 , 5 , 9 , 6 , 12 , 14 , 14 ,1,3,1,4,4, , , , , , , ,1,3, ,,
Ealing,East Acton,337,344,301,400,389,38,42,27,28,31, 13 , 5 , 10 , 7 , 9 , 17 , 17 , 9 , 11 , 10 ,2,3,1, , , , , , , , ,1, ,3, ,,
Ealing,Ealing Common,129,168,112,117,139,15,17,22,17,19, 2 , 2 , 4 , 7 , 3 , 7 , 11 , 9 , 7 , 9 , , ,2,2,1, , , , , ,1, ,1,1, ,,
Ealing,Ealing Broadway,236,214,176,222,215,16,20,16,19,18, 2 , 1 , 3 , 3 , 1 , 6 , 11 , 9 , 9 , 9 ,2,1,1,1,3, , , , , , , ,4,1, ,,
Ealing,Dormers Wells,127,159,96,119,151,8,13,11,12,19, 4 , 6 , 3 , 4 , 7 , 4 , 9 , 7 , 4 , 11 , ,1,1, ,3, , ,1,1, , ,1, , ,1,,
Ealing,Cleveland,129,120,117,156,157,13,19,12,14,17, 4 , 1 , 2 , 3 , 2 , 7 , 12 , 10 , 12 , 14 ,1,3,1,1,4, , , , , ,1,1,1,2,1,,
Ealing,Acton Central,184,174,155,208,234,21,25,31,26,21, 7 , 2 , 8 , 7 , 14 , 13 , 16 , 16 , 14 , 13 ,3,5,6,3,2, , , , ,1,1,1,2, ,4,,
Enfield,Winchmore Hill,82,75,68,62,74,11,12,11,6,9, 3 , 3 , 8 , 2 , 5 , 9 , 9 , 6 , 2 , 4 ,1,1,2,2,2, , , , , , , , , , ,,
Enfield,Upper Edmonton,291,278,225,232,230,34,29,44,39,33, 15 , 19 , 24 , 16 , 15 , 13 , 14 , 15 , 17 , 9 ,2, ,3,1, , , , , , , ,1,1,3,1,,
Enfield,Turkey Street,130,131,126,117,133,21,16,18,13,20, 14 , 9 , 4 , 6 , 11 , 9 , 8 , 10 , 6 , 11 , , ,1, , , , , , , , ,6, , ,1,,
Enfield,Town,94,97,73,94,96,13,16,14,12,10, 1 , 7 , 2 , 4 , 4 , 5 , 7 , 7 , 4 , 4 ,2,3,1,1, , , , , , , , ,1,1,1,,
Enfield,Southgate Green,113,79,84,93,87,21,10,15,5,7, 6 , 4 , 3 , 1 , 1 , 15 , 6 , 7 , 4 , 4 ,1,1,2, , , , , , , ,5,1, , , ,,
Enfield,Southgate,111,122,114,143,130,15,16,14,5,16, 8 , 2 , 5 , 6 , 7 , 9 , 10 , 10 , 2 , 8 ,1, ,1, ,1,1, , , , ,2,1,1, ,1,,
Enfield,Southbury,174,211,207,212,241,27,23,26,20,31, 8 , 14 , 8 , 10 , 18 , 16 , 12 , 11 , 9 , 8 , , , , ,1, , , , ,1,1, ,1,2,2,,
Enfield,Ponders End,187,172,176,165,182,27,28,27,18,28, 18 , 11 , 4 , 16 , 11 , 9 , 13 , 18 , 4 , 16 , , ,1, , , , , , , ,5,1,1,6, ,,
Enfield,Palmers Green,107,120,121,127,115,13,17,11,15,11, 3 , 9 , 3 , 6 , 5 , 9 , 7 , 6 , 6 , 3 ,1, , , , , , , , , ,1, , , ,1,,
Enfield,Lower Edmonton,125,126,135,140,133,18,19,24,12,22, 7 , 9 , 6 , 4 , 9 , 10 , 11 , 18 , 7 , 9 ,2,1, , ,1, , , , , ,2,1,1,1,2,,
Enfield,Jubilee,126,103,125,117,119,17,13,21,13,20, 11 , 9 , 11 , 7 , 9 , 9 , 5 , 12 , 4 , 7 ,1,1, ,1, ,1, , , , , ,1, , , ,,
Enfield,Highlands,225,182,149,120,103,17,18,16,9,9, 3 , 5 , 5 , 4 , 3 , 9 , 7 , 9 , 4 , 7 ,3, , ,1,1, , , , , ,3, ,2, , ,,
Enfield,Haselbury,147,129,137,132,151,26,22,17,16,23, 16 , 10 , 8 , 6 , 11 , 18 , 18 , 7 , 15 , 10 , , , , , , , , , , ,7,1, ,1,2,,
Enfield,Grange,96,104,93,112,100,7,8,9,10,11, 4 , 10 , 1 , 2 , 6 , 3 , 4 , 4 , 4 , 3 , ,1, , , , , , , , , , ,1, , ,,
Enfield,Enfield Lock,154,164,147,158,139,23,30,24,19,17, 12 , 11 , 11 , 7 , 7 , 17 , 16 , 11 , 10 , 8 , ,1, ,1, , , , , , ,2,1,8,1, ,,
Enfield,Enfield Highway,273,245,221,180,214,42,28,31,20,22, 22 , 13 , 17 , 14 , 12 , 17 , 11 , 11 , 8 , 6 ,2, ,1, , , , , , , ,8,2,1, , ,,
Enfield,Edmonton Green,302,265,261,285,311,28,35,33,35,35, 25 , 14 , 17 , 9 , 12 , 15 , 15 , 14 , 21 , 20 , ,1,2,1,1, ,2,1, , ,2,5,7,7,5,,
Enfield,Cockfosters,143,139,117,113,103,21,13,10,11,19, 9 , 6 , 10 , 8 , 7 , 13 , 9 , 4 , 5 , 10 ,2,1,2, ,1,1, , , , ,1, ,1,1,1,,
Enfield,Chase,182,200,150,180,193,24,31,16,22,34, 9 , 12 , 10 , 11 , 19 , 9 , 5 , 5 , 7 , 6 ,1,1, , ,1, ,1, , , ,2, ,1, ,1,,
Enfield,Bush Hill Park,85,102,96,91,94,11,11,12,14,10, 2 , 6 , 7 , 4 , 3 , 5 , 7 , 5 , 4 , 5 , , ,1,3, , , , , , ,3, , , , ,,
Enfield,Bowes,104,81,121,122,107,16,10,25,23,18, 10 , 1 , 7 , 11 , 6 , 9 , 6 , 18 , 8 , 9 , ,2,1, ,1, , , , , , , ,2, ,5,,
Greenwich,Woolwich Riverside,351,354,274,311,335,31,41,37,31,26, 16 , 16 , 6 , 17 , 17 , 10 , 24 , 22 , 14 , 13 ,2, ,3, ,1, , , , , ,1,3, , ,3,,
Greenwich,Woolwich Common,334,320,296,252,255,40,33,28,20,23, 21 , 18 , 7 , 6 , 7 , 22 , 14 , 15 , 13 , 10 ,2,5,1,1,1, , , , , ,2,1,1,1,1,,
Greenwich,Thamesmead Moorings,194,228,207,185,265,36,32,39,45,57, 25 , 23 , 33 , 28 , 35 , 14 , 12 , 12 , 16 , 17 , ,2, , , , , , , , ,1, ,1,1, ,,
Greenwich,Shooters Hill,101,115,90,121,124,9,15,13,12,22, 9 , 12 , 1 , 4 , 8 , 4 , 10 , 12 , 5 , 15 ,1,1, , , , ,1, , ,1, ,1,2,1,1,,
Greenwich,Plumstead,182,217,163,159,197,26,21,28,28,24, 13 , 38 , 19 , 13 , 13 , 17 , 9 , 13 , 18 , 11 ,1,1,2,1,1, ,2, , ,1,3,15, , ,1,,
Greenwich,Peninsula,245,233,240,263,286,37,30,34,20,29, 11 , 8 , 4 , 5 , 9 , 11 , 10 , 15 , 6 , 14 , ,1,5,1,1, , , , ,1,1, ,2,3,5,,
Greenwich,Middle Park and Sutcliffe,133,136,131,132,140,8,14,14,13,15, 9 , 10 , 9 , 13 , 7 , 4 , 8 , 4 , 6 , 8 , ,1, , , , , , , , ,2, , ,1, ,,
Greenwich,Kidbrooke with Hornfair,128,149,117,115,143,30,18,14,17,21, 12 , 12 , 5 , 10 , 8 , 15 , 11 , 7 , 10 , 10 , ,1,2, , , , , , , ,3,2, ,1, ,,
Greenwich,Greenwich West,278,227,258,275,281,21,22,28,22,28, 8 , 11 , 9 , 7 , 5 , 9 , 10 , 11 , 11 , 16 ,2,1, , , , , , , , ,1,1,4,3,2,,
Greenwich,Glyndon,201,208,162,164,156,41,29,23,20,22, 24 , 29 , 7 , 13 , 12 , 17 , 16 , 15 , 12 , 10 ,2, ,1, , , , , ,1, ,1,2,1, ,1,,
Greenwich,Eltham West,90,70,70,99,79,14,7,10,16,15, 8 , 3 , 2 , 4 , 2 , 7 , 1 , 5 , 6 , 8 , , , ,1,1, , , , , ,1,1, ,1,1,,
Greenwich,Eltham South,149,128,136,166,140,16,15,12,22,16, 7 , 6 , 11 , 13 , 11 , 10 , 5 , 3 , 11 , 6 , , , , , , , ,1,1, ,1,1, ,1,1,,
Greenwich,Eltham North,85,92,92,98,128,10,14,6,7,19, 4 ,   , 4 , 1 , 10 , 3 , 10 , 1 , 2 , 9 , , ,1,1,1, , , , , , ,2, , , ,,
Greenwich,Coldharbour and New Eltham,75,59,71,87,103,17,7,14,19,15, 5 , 4 , 6 , 10 , 4 , 7 , 3 , 7 , 7 , 7 ,1,1,1, , , , , , , ,2, , ,1, ,,
Greenwich,Charlton,143,123,113,143,124,20,23,22,24,9, 8 , 14 , 8 , 7 , 2 , 12 , 12 , 9 , 10 , 7 ,5,2,3,3, , , , , , ,4,1, ,4, ,,
Greenwich,Blackheath Westcombe,148,140,148,127,147,18,18,21,17,13, 1 , 6 , 2 , 5 , 4 , 14 , 10 , 13 , 11 , 7 ,2,4,5,2,1,1, , , , ,2,1, ,1, ,,
Greenwich,Abbey Wood,128,157,123,174,167,21,37,37,36,35, 19 , 16 , 21 , 30 , 22 , 11 , 20 , 15 , 15 , 11 , , , , , , , , , , ,1,1,2,2, ,,
Hackney,Woodberry Down,230,201,234,191,276,20,13,16,16,20, 9 , 3 , 5 , 1 , 7 , 11 , 9 , 9 , 12 , 13 ,3,1,2,1,1, , , , , ,1,3, ,2, ,,
Hackney,Victoria,194,175,133,158,158,9,19,14,13,17, 8 , 11 , 7 , 3 , 6 , 7 , 12 , 9 , 9 , 9 ,1,1,2, ,2, , , , , , ,1, , , ,,
Hackney,Stoke Newington,164,141,161,143,167,22,25,27,17,19, 4 , 2 , 2 , 3 ,   , 17 , 19 , 16 , 9 , 12 ,3,3,1, , , , , , , ,6,1,2, , ,,
Hackney,Stamford Hill West,109,100,109,119,108,13,17,9,14,14, 5 , 2 , 3 , 3 , 3 , 9 , 13 , 6 , 11 , 9 , , , ,1,1, , , , , ,2, ,3,1,1,,
Hackney,Springfield,258,236,229,267,256,28,32,29,31,30, 9 , 3 , 7 , 2 , 9 , 15 , 25 , 24 , 20 , 22 ,3,1,3, ,3, ,1, , , ,1, ,1,1, ,,
Hackney,Shacklewell,119,137,90,113,99,11,16,7,14,9, 1 , 3 ,   , 2 , 1 , 10 , 10 , 7 , 9 , 7 ,2, , , , , , , , , , , , , , ,,
Hackney,London Fields,200,193,218,206,178,21,28,21,30,14, 5 , 4 , 2 , 5 , 1 , 16 , 18 , 11 , 17 , 10 , ,4, ,3, , , , , , ,2, ,1,1,2,,
Hackney,Lea Bridge,140,116,126,128,140,16,21,20,17,19, 3 , 5 , 7 , 6 , 5 , 9 , 12 , 11 , 11 , 10 ,2,1, , ,1,2, , , , ,2, , , , ,,
Hackney,King's Park,137,142,163,156,168,18,16,17,13,14, 7 , 3 , 6 , 5 , 2 , 10 , 12 , 13 , 8 , 11 ,1,1,1, , , , , , , , ,1,2,2,1,,
Hackney,Hoxton West,274,260,249,278,294,14,24,29,16,17, 3 , 6 , 6 ,   , 3 , 7 , 13 , 17 , 12 , 8 , , , , ,1, , , , , ,1,4,1, ,1,,
Hackney,Hoxton East & Shoreditch,374,388,378,378,378,20,27,24,26,23, 9 , 13 , 4 , 4 , 5 , 9 , 12 , 8 , 11 , 8 , ,1, , , , , , , , ,1, , ,1, ,,
Hackney,Homerton,386,338,278,321,274,36,31,31,30,22, 16 , 5 , 5 , 12 , 7 , 17 , 16 , 19 , 9 , 10 , , ,1,2, , , , , , ,3, ,1,1,2,,
Hackney,Haggerston,198,169,175,204,166,19,17,24,20,14, 9 , 13 , 8 , 14 , 9 , 13 , 7 , 15 , 15 , 11 , , , ,3, , , , , , , ,2, ,1, ,,
Hackney,Hackney Wick,245,177,200,174,170,21,29,21,18,11, 3 , 8 , 6 , 3 , 4 , 12 , 18 , 11 , 10 , 4 ,1,3,1,2,1, ,1, ,1, ,1,1,1,4, ,,
Hackney,Hackney Downs,185,184,172,183,184,20,22,18,16,14, 5 , 3 , 3 , 5 , 2 , 12 , 15 , 15 , 10 , 12 ,4,1,1, , , , , , , ,2,2, , ,1,,
Hackney,Hackney Central,297,277,309,259,287,32,24,25,28,15, 3 , 2 , 3 , 2 , 3 , 26 , 17 , 22 , 22 , 9 , ,2,4,1, , , , , , ,3,1, ,2, ,,
Hackney,De Beauvoir,150,133,137,131,125,6,15,7,8,12, 3 , 4 , 3 , 4 , 6 , 5 , 8 , 4 , 5 , 8 , , , , , , , , , , , ,1, , , ,,
Hackney,Dalston,170,142,122,164,160,16,15,8,13,14, 5 , 3 , 3 , 1 , 4 , 6 , 7 , 4 , 6 , 6 ,2,1, ,2, , , , , , , , , , , ,,
Hackney,Clissold,182,191,209,223,218,24,18,18,14,27, 1 , 7 , 6 , 8 , 6 , 18 , 13 , 10 , 7 , 19 ,4, ,3,1,2, , , , , ,1,1, ,1,3,,
Hackney,Cazenove,156,147,156,146,151,24,18,18,16,20, 5 , 4 , 1 , 7 , 9 , 14 , 16 , 13 , 11 , 12 , ,1, , , , , , , ,1,4, , , ,5,,
Hackney,Brownswood,108,117,94,88,69,12,9,10,9,3, 2 , 1 , 4 , 2 , 1 , 9 , 7 , 6 , 7 , 1 , ,1,2,1,1, , ,1, , ,3, ,1,1, ,,
Hammersmith and Fulham,Wormholt and White City,160,136,150,156,158,15,19,16,10,2, 6 , 2 , 2 , 3 , 1 , 8 , 8 , 12 , 5 , 1 , ,4,2,1, , , , ,1, ,1, ,1,1, ,,
Hammersmith and Fulham,Town,180,146,132,142,175,17,13,13,8,16, 1 ,   , 2 , 1 , 3 , 11 , 7 , 9 , 1 , 9 ,1, , , , ,1, , , , , ,2, ,1, ,,
Hammersmith and Fulham,Shepherd's Bush Green,245,222,228,214,233,21,16,12,26,26, 4 , 2 , 2 , 5 , 1 , 11 , 7 , 6 , 12 , 12 , , , , ,1, ,1, , , ,4, ,1,1,1,,
Hammersmith and Fulham,Sands End,298,250,194,171,197,8,16,18,27,15, 2 , 1 , 1 , 5 , 2 , 8 , 12 , 11 , 16 , 11 ,1,1,1,1,1, , , , , ,1, ,1,1,3,,
Hammersmith and Fulham,Ravenscourt Park,194,161,174,169,182,14,12,20,12,16, 1 , 1 , 2 ,   , 1 , 6 , 8 , 13 , 5 , 8 ,3,3,2,5,3, , , , , , , ,1, , ,,
Hammersmith and Fulham,Parsons Green and Walham,159,147,137,155,155,17,12,13,8,17, 4 ,   , 3 , 1 , 1 , 10 , 9 , 10 , 7 , 13 , ,1,2,2,2, , , , ,1, , , , ,1,,
Hammersmith and Fulham,Palace Riverside,123,143,148,144,155,13,7,7,6,6, 2 , 1 , 1 ,   , 2 , 10 , 7 , 4 , 5 , 2 ,4,1,1,1,1,1, , , , , , , , , ,,
Hammersmith and Fulham,North End,164,184,166,178,148,18,15,14,20,16, 2 , 2 , 4 , 3 ,   , 12 , 6 , 9 , 15 , 11 ,1,1,1,1, ,1, , , , , , , , ,1,,
Hammersmith and Fulham,Munster,118,94,82,81,75,7,13,8,9,13, 1 ,   , 2 , 3 ,   , 7 , 10 , 5 , 5 , 11 , , ,1,1,2, , , , , , ,1, , ,2,,
Hammersmith and Fulham,Hammersmith Broadway,310,304,264,270,313,21,24,16,15,24, 4 , 2 , 1 , 3 , 4 , 6 , 11 , 6 , 8 , 14 , ,1, ,2,1, ,1, , , ,4,2, , ,2,,
Hammersmith and Fulham,Fulham Reach,117,119,104,109,98,9,14,13,18,4, 2 , 2 , 2 , 6 , 2 , 6 , 7 , 8 , 6 , 2 , , , , , , , , , , ,1,2, , ,2,,
Hammersmith and Fulham,Fulham Broadway,210,218,248,203,204,21,12,18,12,18, 1 ,   , 1 ,   , 3 , 15 , 11 , 12 , 8 , 9 ,5,2,4,1,1, , , , , ,5,1, , ,2,,
Hammersmith and Fulham,College Park and Old Oak,212,174,140,161,189,24,31,19,26,34, 10 , 9 , 8 , 13 , 16 , 5 , 14 , 5 , 2 , 6 , ,3, , , , , , , , , ,1,1,2,1,,
Hammersmith and Fulham,Avonmore and Brook Green,185,174,178,156,203,18,20,7,14,18,   , 2 , 1 , 1 , 1 , 14 , 14 , 3 , 7 , 13 ,2,1,1, ,2,1, , , , , ,1,1, ,1,,
Hammersmith and Fulham,Askew,158,189,156,181,206,23,18,21,20,16, 1 , 6 , 3 , 10 , 5 , 15 , 6 , 13 , 9 , 9 ,3,5,1,1,1, , , ,1, ,1, ,1, , ,,
Hammersmith and Fulham,Addison,166,139,151,144,168,14,17,15,11,19, 1 , 1 , 1 , 2 ,   , 12 , 9 , 12 , 7 , 14 , , ,1, , , , , , , ,1,5,2,1, ,,
Haringey,Woodside,130,118,145,168,144,22,18,13,20,28, 7 , 5 , 8 , 3 , 8 , 16 , 11 , 5 , 10 , 11 , , ,1, ,1, , , , , ,9,3, , ,2,,
