 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclasss
040815G,AECOM INFRASTRUCTURE &,47074243,2,450.2,PROF FEES-MISCELLANEOUS,10/08/2015,,Technical and Service Support,Consultancy
040815G,AECOM INFRASTRUCTURE &,47074243,3,"1,866.94",PROF FEES-MISCELLANEOUS,10/08/2015,,Technical and Service Support,Consultancy
050815M,FOCUS & VISION TECHNOLOGY LTD,47078,1,349.76,MEDICAL EXPENSES CONTRACT,10/08/2015,349.76,HR Management,Healthcare
050815M,FOCUS & VISION TECHNOLOGY LTD,47108,1,400.33,MEDICAL EXPENSES CONTRACT,10/08/2015,400.33,HR Management,Healthcare
050815M,FOCUS & VISION TECHNOLOGY LTD,47196,1,266.28,MEDICAL EXPENSES CONTRACT,10/08/2015,266.28,HR Management,Healthcare
040815G,SPORTSAFE UK LTD==============,475110,1,30.67,GYM EQUIPMENT,10/08/2015,287.5,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475110,2,53.73,GYM EQUIPMENT,10/08/2015,,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475110,3,36.1,GYM EQUIPMENT,10/08/2015,,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475110,4,98,GYM EQUIPMENT,10/08/2015,,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475110,5,69,GYM EQUIPMENT,10/08/2015,,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475111,1,453.18,GYM EQUIPMENT,10/08/2015,598.56,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475111,2,24.36,GYM EQUIPMENT,10/08/2015,,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475111,3,121.02,GYM EQUIPMENT,10/08/2015,,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475112,1,102.56,GYM EQUIPMENT,10/08/2015,378.56,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475112,2,276,GYM EQUIPMENT,10/08/2015,,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475114,1,295,GYM EQUIPMENT,10/08/2015,295,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475116,1,56,GYM EQUIPMENT,10/08/2015,981.69,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475116,2,112.5,GYM EQUIPMENT,10/08/2015,,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475116,3,53.4,GYM EQUIPMENT,10/08/2015,,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475116,4,315.72,GYM EQUIPMENT,10/08/2015,,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475116,5,73.94,GYM EQUIPMENT,10/08/2015,,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475116,6,103.88,GYM EQUIPMENT,10/08/2015,,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475116,7,7.25,GYM EQUIPMENT,10/08/2015,,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475116,8,92,GYM EQUIPMENT,10/08/2015,,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475116,9,98,GYM EQUIPMENT,10/08/2015,,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475116,10,69,GYM EQUIPMENT,10/08/2015,,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475119,1,37.24,GYM EQUIPMENT,10/08/2015,352.96,Technical And Service Support,Sports & Playground Equip
040815G,SPORTSAFE UK LTD==============,475119,2,315.72,GYM EQUIPMENT,10/08/2015,,Technical And Service Support,Sports & Playground Equip
800064140,*GREENHAM TRADING LTD=========,5691042,1,79.8,OFFICE EQUIPMENT,10/08/2015,254.62,Operations Fire Stations,Cleaning & Janitorial
800064140,*GREENHAM TRADING LTD=========,5691042,2,55.92,OPERATIONAL EQUIP-PURCHASE,10/08/2015,,Operations Fire Stations,Cleaning & Janitorial
800064140,*GREENHAM TRADING LTD=========,5691042,3,118.9,HYGIENE,10/08/2015,,Operations Fire Stations,Cleaning & Janitorial
800064142,*GREENHAM TRADING LTD=========,5691044,1,37.28,OPERATIONAL EQUIP-PURCHASE,10/08/2015,268.36,Operations Fire Stations,Cleaning & Janitorial
800064142,*GREENHAM TRADING LTD=========,5691044,2,135.96,HYGIENE,10/08/2015,,Operations Fire Stations,Cleaning & Janitorial
800064142,*GREENHAM TRADING LTD=========,5691044,3,95.12,HYGIENE,10/08/2015,,Operations Fire Stations,Cleaning & Janitorial
040815G,AECOM INFRASTRUCTURE &,6279894,1,"8,261.49",PROF FEES-MISCELLANEOUS,10/08/2015,"10,334.51",Technical and Service Support,Consultancy
040815G,AECOM INFRASTRUCTURE &,6279894,2,"2,073.02",PROF FEES-MISCELLANEOUS,10/08/2015,,Technical and Service Support,Consultancy
040815G,FIRE SERVICE COLLEGE LTD======,803935,1,"2,250.00",PROFESSIONAL DEVELOPMENT,10/08/2015,"2,250.00",National Operational Guidance Project,Human Resources
050815M,SHARPE PRITCHARD==============,80800,1,435,LEGAL PROFESSIONAL FEES-GENERL,10/08/2015,435,Central Finance,Legal Services
050815M,SHARPE PRITCHARD==============,81289,1,"2,925.00",DISPOSAL COSTS-ESTATES AGENTS,10/08/2015,"2,925.00",Technical and Service Support,Legal Services
050815M,SHARPE PRITCHARD==============,81554,1,"6,431.69",DISPOSAL COSTS-ESTATES AGENTS,10/08/2015,"6,431.69",Technical and Service Support,Legal Services
040815G,G4S FIRE & SECURITY SYSTEMS UK,886574,1,"2,181.36",STRATEGIC (NON CYCLICAL),10/08/2015,"2,181.36",Technical And Service Support,Facilities & Management S
040815G,CITY UNIVERSITY===============,90324827,1,"6,530.00",MEDICAL EXPENSES CONTRACT,10/08/2015,"6,530.00",HR Management,TRAINING AND EDUCATIONAL
280715M,ASTEC SURVEYS LIMITED=========,ASL-15-193,1,465,ASBESTOS,10/08/2015,465,Technical and Service Support,Environmental Services
040815G,E&S B DAVIS LTD,DAV/57469,1,295,OPERATIONAL EQUIP-PURCHASE,10/08/2015,295,Operations Fire Stations,Environmental Services
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,1,593.3,FUEL,10/08/2015,"13,995.44",Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,2,416.66,FUEL,10/08/2015,,Operations Non Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,3,400.96,FUEL,10/08/2015,,Procurement,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,4,334.15,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,5,281.39,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,6,266.25,FUEL,10/08/2015,,Fire Safety Regulation,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,7,264.04,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,8,254.92,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,9,237.56,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,10,230.26,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,11,228.27,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,12,223.51,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,13,220.96,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,14,216.02,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,15,211.14,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,16,210.68,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,17,206.03,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,18,202.34,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,19,200.88,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,20,198.99,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,21,196.71,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,22,193.22,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,23,188.04,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,24,186.98,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,25,181.18,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,26,177.35,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,27,177.14,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,28,176.45,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,29,171.23,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,30,170.86,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,31,169.58,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,32,167.38,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,33,166.73,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,34,165,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,35,164.96,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,36,164.03,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,37,163.31,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,38,162.55,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,39,160.86,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,40,159.14,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,41,152.53,FUEL,10/08/2015,,Command Units,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,42,150.33,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,43,148.6,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,44,145.74,FUEL,10/08/2015,,Command Units,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,45,141.51,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,46,127.85,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,47,122.43,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,48,121.75,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,49,119.98,FUEL,10/08/2015,,Command Units,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,50,119.73,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,51,116.03,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,52,113.74,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,53,113.5,FUEL,10/08/2015,,Operational Resilience,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,54,112.79,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,55,109.14,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,56,103.29,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,57,102.4,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,58,101.52,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,59,101.06,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,60,100.89,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,61,99.47,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,62,98.92,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,63,96.91,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,64,96.4,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,65,94.29,FUEL,10/08/2015,,Command Units,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,66,93.48,FUEL,10/08/2015,,Command Units,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,67,91.82,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,68,91.61,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,69,87.21,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,70,86.8,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,71,86.38,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,72,85.7,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,73,83.08,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,74,81.29,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,75,81.01,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,76,79.97,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,77,77.74,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,78,77.37,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,79,75.97,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,80,75.65,FUEL,10/08/2015,,Information and Communication Technology,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,81,74.64,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,82,67.36,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,83,66.62,FUEL,10/08/2015,,Command Units,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,84,64.1,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,85,63.78,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,86,62.68,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,87,60.57,FUEL,10/08/2015,,Command Units,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,88,54.68,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,89,53.63,FUEL,10/08/2015,,Operations Non Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,90,53.37,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,91,53.2,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,92,51.16,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,93,47.83,FUEL,10/08/2015,,Operational Resilience,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,94,46.86,FUEL,10/08/2015,,Operations Non Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,95,46.47,FUEL,10/08/2015,,LIFE - LFB Funded,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,96,22.41,FUEL,10/08/2015,,Technical And Service Support,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,97,21.43,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,98,16.48,FUEL,10/08/2015,,Operations Fire Stations,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,99,15.33,FUEL,10/08/2015,,CBRN RRT,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,100,13.68,FUEL,10/08/2015,,Technical And Service Support,Vehicle Management
800064246,ALLSTAR BUSINESS SOLUTIONS LTD,E2005119886,101,12.27,FUEL,10/08/2015,,Command Units,Vehicle Management
040815G,HALL FUELS,I07678887,1,"2,807.40",FUEL,10/08/2015,"2,807.40",Operations Fire Stations,Vehicle Management
040815G,HALL FUELS,I07678888,1,"2,807.40",FUEL,10/08/2015,"2,807.40",Operations Fire Stations,Vehicle Management
040815G,HALL FUELS,I07701618,1,"3,239.95",FUEL,10/08/2015,"3,239.95",Operations Fire Stations,Vehicle Management
280715M,HALL FUELS,I07745173,1,"2,703.30",FUEL,10/08/2015,"2,703.30",Operations Fire Stations,Vehicle Management
290715M,HALL FUELS,I07745174,1,"2,703.30",FUEL,10/08/2015,"2,703.30",Operations Fire Stations,Vehicle Management
290715M,HUNTER LODGE==================,SI-05920,1,660,ADVERTISING,10/08/2015,660,HR Management,Facilities & Management S
800064116,*XMA LTD,Y539963,1,134.8,STATIONERY CONSUMABLES,10/08/2015,351.14,Operations Fire Stations,ICT
800064116,*XMA LTD,Y539963,2,54.55,STATIONERY CONSUMABLES,10/08/2015,,Operations Fire Stations,ICT
800064116,*XMA LTD,Y539963,3,51.23,STATIONERY CONSUMABLES,10/08/2015,,Operations Fire Stations,ICT
800064116,*XMA LTD,Y539963,4,55.28,STATIONERY CONSUMABLES,10/08/2015,,Operations Fire Stations,ICT
800064116,*XMA LTD,Y539963,5,55.28,STATIONERY CONSUMABLES,10/08/2015,,Operations Fire Stations,ICT
100815M,ALPHABET (GB) LIMITED,AD5861,1,273,PUBLIC TRANSPORT,12/08/2015,273,Operations Non Fire Stations,Vehicle Management
141139,OGILVIE FLEET LTD=============,346371,1,428.44,LEASE CAR CHARGES,13/08/2015,428.44,Procurement,Vehicle Management
141139,OGILVIE FLEET LTD=============,346371,2,-39.14,VAT CAR LEASING,13/08/2015,,Finance Services,Vehicle Management
141139,OGILVIE FLEET LTD=============,346371,3,39.14,LEASE CAR CHARGES,13/08/2015,,Procurement,Vehicle Management
141139,OGILVIE FLEET LTD=============,346373,1,277.32,LEASE CAR CHARGES,13/08/2015,277.32,Procurement,Vehicle Management
141139,OGILVIE FLEET LTD=============,346373,2,-23.27,VAT CAR LEASING,13/08/2015,,Finance Services,Vehicle Management
141139,OGILVIE FLEET LTD=============,346373,3,23.27,LEASE CAR CHARGES,13/08/2015,,Procurement,Vehicle Management
141139,OGILVIE FLEET LTD=============,346374,1,557.15,LEASE CAR CHARGES,13/08/2015,557.15,Procurement,Vehicle Management
141139,OGILVIE FLEET LTD=============,346374,2,-50.11,VAT CAR LEASING,13/08/2015,,Finance Services,Vehicle Management
141139,OGILVIE FLEET LTD=============,346374,3,50.11,LEASE CAR CHARGES,13/08/2015,,Procurement,Vehicle Management
060815M,GEOGRAPHERS A-Z MAP CO LIMITED,1002610,1,"4,036.50",STATIONERY CONSUMABLES,13/08/2015,"4,036.50",Operations Non Fire Stations,Stationery
070815M,*SPRUE SAFETY PRODUCTS LTD====,1078606,1,"1,600.00",FIRE DETECTORS,13/08/2015,"1,600.00",Operations Non Fire Stations,Health & Safety
060815M,*SPRUE SAFETY PRODUCTS LTD====,1078607,1,880,FIRE DETECTORS,13/08/2015,880,Operations Non Fire Stations,Health & Safety
800063990,*JAMES HUNTER (OUTFITTERS) LTD,108218,1,231.56,CLOTHING,13/08/2015,404.34,Fire Safety Regulation,Clothing
800063990,*JAMES HUNTER (OUTFITTERS) LTD,108218,2,49.2,CLOTHING,13/08/2015,,Fire Safety Regulation,Clothing
800063990,*JAMES HUNTER (OUTFITTERS) LTD,108218,3,123.58,CLOTHING,13/08/2015,,Fire Safety Regulation,Clothing
800063993,*JAMES HUNTER (OUTFITTERS) LTD,108221,1,318.85,CLOTHING,13/08/2015,318.85,Operations Fire Stations,Clothing
800063994,*JAMES HUNTER (OUTFITTERS) LTD,108222,1,289.84,CLOTHING,13/08/2015,435.58,Fire Safety Regulation,Clothing
800063994,*JAMES HUNTER (OUTFITTERS) LTD,108222,2,145.74,CLOTHING,13/08/2015,,Fire Safety Regulation,Clothing
800064008,*JAMES HUNTER (OUTFITTERS) LTD,108236,1,293.13,CLOTHING,13/08/2015,293.13,Operations Fire Stations,Clothing
800063961,*JAMES HUNTER (OUTFITTERS) LTD,108264,1,289.84,CLOTHING,13/08/2015,289.84,Operations Fire Stations,Clothing
800063962,*JAMES HUNTER (OUTFITTERS) LTD,108265,1,362.23,CLOTHING,13/08/2015,362.23,Operations Fire Stations,Clothing
800063963,*JAMES HUNTER (OUTFITTERS) LTD,108266,1,356.81,CLOTHING,13/08/2015,356.81,Operations Fire Stations,Clothing
800063969,*JAMES HUNTER (OUTFITTERS) LTD,108272,1,282.83,CLOTHING,13/08/2015,421.65,Operations Fire Stations,Clothing
800063969,*JAMES HUNTER (OUTFITTERS) LTD,108272,2,138.82,CLOTHING,13/08/2015,,Operations Fire Stations,Clothing
800063972,*JAMES HUNTER (OUTFITTERS) LTD,108275,1,293.13,CLOTHING,13/08/2015,354.92,Operations Fire Stations,Clothing
800063972,*JAMES HUNTER (OUTFITTERS) LTD,108275,2,61.79,CLOTHING,13/08/2015,,Operations Fire Stations,Clothing
070815M,AUXQUIMIA S.A.U,115422,1,"1,320.00",OPERATIONAL EQUIP-PURCHASE,13/08/2015,"1,320.00",Operations Fire Stations,Fire & Rescue
060815M,VISTA LANDSCAPE MANAGEMENT LTD,121043,1,95.83,GROUNDS MAINTENANCE,13/08/2015,"2,232.46",Technical And Service Support,"Works - Construction, R&M"
060815M,VISTA LANDSCAPE MANAGEMENT LTD,121043,2,23,GROUNDS MAINTENANCE,13/08/2015,,Technical And Service Support,"Works - Construction, R&M"
060815M,VISTA LANDSCAPE MANAGEMENT LTD,121043,3,22.12,GROUNDS MAINTENANCE,13/08/2015,,Technical And Service Support,"Works - Construction, R&M"
060815M,VISTA LANDSCAPE MANAGEMENT LTD,121043,4,24.94,GROUNDS MAINTENANCE,13/08/2015,,Technical And Service Support,"Works - Construction, R&M"
060815M,VISTA LANDSCAPE MANAGEMENT LTD,121043,5,75,GROUNDS MAINTENANCE,13/08/2015,,Technical And Service Support,"Works - Construction, R&M"
060815M,VISTA LANDSCAPE MANAGEMENT LTD,121043,6,17.25,GROUNDS MAINTENANCE,13/08/2015,,Technical And Service Support,"Works - Construction, R&M"
060815M,VISTA LANDSCAPE MANAGEMENT LTD,121043,7,25.77,GROUNDS MAINTENANCE,13/08/2015,,Technical And Service Support,"Works - Construction, R&M"
060815M,VISTA LANDSCAPE MANAGEMENT LTD,121043,8,17.25,GROUNDS MAINTENANCE,13/08/2015,,Technical And Service Support,"Works - Construction, R&M"
060815M,VISTA LANDSCAPE MANAGEMENT LTD,121043,9,46,GROUNDS MAINTENANCE,13/08/2015,,Technical And Service Support,"Works - Construction, R&M"
060815M,VISTA LANDSCAPE MANAGEMENT LTD,121043,10,11.5,GROUNDS MAINTENANCE,13/08/2015,,Technical And Service Support,"Works - Construction, R&M"
